"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"234764_x_at"	1.07685632723089e-15	3.54520601557495e-19	-21.499814195312	33.6482552419951	-4.55282352941176	"IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1"	"immunoglobulin lambda joining 3///immunoglobulin lambda variable 1-44///cytoskeleton associated protein 2///immunoglobulin lambda variable cluster///immunoglobulin lambda constant 1"
"209626_s_at"	1.70267186742669e-15	5.91692098419884e-19	-21.0944783998644	33.159327670014	-2.99017647058823	"OSBPL3"	"oxysterol binding protein like 3"
"209631_s_at"	2.26605095742988e-15	8.28916673956974e-19	20.831395002009	32.8368295389157	4.80723529411765	"SEL1L2///GPR37"	"SEL1L2 ERAD E3 ligase adaptor subunit///G protein-coupled receptor 37"
"212311_at"	3.74924176884694e-15	1.44003799077797e-18	-20.406639099745	32.3073424515269	-3.31017647058824	"SEL1L3"	"SEL1L family member 3"
"218963_s_at"	4.06430347386943e-15	1.63538502835167e-18	-20.3098915139185	32.1851899236045	-4.33447058823529	"KRT23"	"keratin 23"
"204655_at"	4.28465714191574e-15	1.80241635599565e-18	-20.2361998547276	32.0917559791793	-3.59158823529411	"CCL5"	"C-C motif chemokine ligand 5"
"213800_at"	5.09127948887308e-15	2.23485519401836e-18	20.0740749002144	31.8849951944886	2.47694117647059	"CFH"	"complement factor H"
"220116_at"	5.2522439618959e-15	2.40157474252213e-18	20.0200867634031	31.8157737174589	3.35711764705882	"KCNN2"	"potassium calcium-activated channel subfamily N member 2"
"211990_at"	5.44072868566062e-15	2.70369712788547e-18	-19.9314465396329	31.7017192862841	-3.45770588235294	"HLA-DPA1"	"major histocompatibility complex, class II, DP alpha 1"
"205478_at"	5.44072868566062e-15	2.77849644791159e-18	19.9110809714165	31.6754435418824	3.40070588235295	"PPP1R1A"	"protein phosphatase 1 regulatory inhibitor subunit 1A"
"204891_s_at"	5.44072868566062e-15	2.84791885356561e-18	-19.8926796816982	31.6516791896116	-2.75276470588235	"LCK"	"LCK proto-oncogene, Src family tyrosine kinase"
"201998_at"	5.44072868566062e-15	2.95574401175969e-18	19.8649982531921	31.6158889293077	2.12741176470589	"ST6GAL1"	"ST6 beta-galactoside alpha-2,6-sialyltransferase 1"
"215014_at"	5.44072868566062e-15	2.98531066428566e-18	19.8575897703792	31.6063018690876	2.04852941176471	"KCND3"	"potassium voltage-gated channel subfamily D member 3"
"213325_at"	5.95963295443956e-15	3.37903285939874e-18	19.7655804985879	31.4869400239436	2.45717647058824	"NECTIN3"	"nectin cell adhesion molecule 3"
"213355_at"	7.90973747087495e-15	4.62938452799265e-18	19.5334177993305	31.1833053070271	3.16088235294119	"ST3GAL6"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 6"
"201137_s_at"	7.9961348182022e-15	5.04973012585578e-18	-19.46974628486	31.0994119402003	-3.50064705882352	"HLA-DPB1"	"major histocompatibility complex, class II, DP beta 1"
"239101_at"	7.9961348182022e-15	5.06964968856702e-18	19.4668663262913	31.0956109563059	1.76876470588235	"ITCH"	"itchy E3 ubiquitin protein ligase"
"220577_at"	7.9961348182022e-15	5.11869627136858e-18	-19.4598247078417	31.0863150698516	-1.95982352941176	"GVINP1"	"GTPase, very large interferon inducible pseudogene 1"
"217733_s_at"	8.17286535259112e-15	5.41611869675215e-18	-19.4185617876779	31.0317760934736	-2.94023529411764	"TMSB10"	"thymosin beta 10"
"214156_at"	8.17286535259112e-15	5.53079136800862e-18	19.4032743125063	31.0115411533117	2.72076470588236	"MYRIP"	"myosin VIIA and Rab interacting protein"
"217258_x_at"	9.833786670376e-15	6.83463911246983e-18	-19.2494066454243	30.8070049639887	-4.17405882352941	"IGLV1-44"	"immunoglobulin lambda variable 1-44"
"231015_at"	1.16875620792181e-14	8.336806970087e-18	19.1059440624328	30.6148588122196	2.16523529411765	"KLF15"	"Kruppel like factor 15"
"203290_at"	1.24646561919911e-14	9.11909003529299e-18	-19.04148189738	30.5280644845407	-3.92070588235294	"HLA-DQA1"	"major histocompatibility complex, class II, DQ alpha 1"
"204284_at"	1.27256791086989e-14	9.54280463569554e-18	19.008910657331	30.4841008616052	4.1294705882353	"PPP1R3C"	"protein phosphatase 1 regulatory subunit 3C"
"1555759_a_at"	1.30302315374087e-14	1.00095057077488e-17	-18.9747197768363	30.4378725020633	-2.22905882352941	"CCL5"	"C-C motif chemokine ligand 5"
"205831_at"	1.35767983436256e-14	1.06776831966329e-17	-18.9285307367336	30.3752936194387	-2.96311764705882	"CD2"	"CD2 molecule"
"242665_at"	1.9905363300136e-14	1.60189480604661e-17	-18.6408007059016	29.9821152081475	-3.14117647058823	"FMNL2"	"formin like 2"
"231647_s_at"	2.10294459492599e-14	1.7308185966469e-17	-18.5863175953721	29.9070083781753	-4.21447058823529	"FCRL5"	"Fc receptor like 5"
"37145_at"	2.36046877240432e-14	1.99906846897375e-17	-18.4852635531576	29.7671420796038	-2.71782352941177	"GNLY"	"granulysin"
"242370_at"	2.36046877240432e-14	2.03542003854617e-17	18.4726577374666	29.7496434374908	1.84523529411765	"MTHFD2L"	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like"
"217757_at"	2.36046877240432e-14	2.07229082899693e-17	18.4601070618788	29.7322100053417	1.51735294117647	"A2M"	"alpha-2-macroglobulin"
"222071_s_at"	2.46258526406284e-14	2.20698084936587e-17	18.4161411610304	29.6710501191058	4.09423529411766	"SLCO4C1"	"solute carrier organic anion transporter family member 4C1"
"211796_s_at"	2.94950377872674e-14	2.73337938446449e-17	-18.2674517160313	29.4631763521911	-3.599	"TRBC1"	"T cell receptor beta constant 1"
"216250_s_at"	2.94950377872674e-14	2.75125181006061e-17	-18.2629376342178	29.4568403573836	-1.65711764705882	"LPXN"	"leupaxin"
"213403_at"	3.04311762284715e-14	2.89423166690538e-17	18.2278786531437	29.4075806824196	1.61376470588236	"MFSD9"	"major facilitator superfamily domain containing 9"
"229430_at"	3.07508450869307e-14	2.980877530146e-17	18.2074924407953	29.3788956663132	2.87082352941177	"C8orf46"	"chromosome 8 open reading frame 46"
"201136_at"	3.30557129018659e-14	3.26476176808552e-17	-18.1447449230768	29.2904135746186	-1.78941176470588	"PLP2"	"proteolipid protein 2"
"204661_at"	3.30703317835246e-14	3.326690897291e-17	-18.1318061307581	29.2721321938109	-2.96311764705882	"CD52"	"CD52 molecule"
"213539_at"	3.5822319978274e-14	3.66904420445056e-17	-18.0644865107896	29.1768160158547	-2.37105882352941	"CD3D"	"CD3d molecule"
"34210_at"	3.68590250319152e-14	3.90652272977997e-17	-18.0214947509646	29.1157694178386	-4.17329411764706	"CD52"	"CD52 molecule"
"200872_at"	3.68590250319152e-14	3.91005661061012e-17	-18.0208755585329	29.114889186123	-1.58282352941176	"S100A10"	"S100 calcium binding protein A10"
"214916_x_at"	3.87213457689833e-14	4.17843511727484e-17	-17.9754645045618	29.0502559116323	-3.53264705882353	"IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHA2///IGHA1"	"immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1"
"200660_at"	3.88813723120203e-14	4.29715346698692e-17	-17.956328951476	29.0229743353105	-3.45323529411764	"S100A11"	"S100 calcium binding protein A11"
"221928_at"	3.88813723120203e-14	4.33793088437721e-17	17.9498819134749	29.0137766249109	2.06800000000001	"ACACB"	"acetyl-CoA carboxylase beta"
"49452_at"	3.91012882955181e-14	4.43398239473639e-17	17.9349397682783	28.9924473587677	2.41570588235294	"ACACB"	"acetyl-CoA carboxylase beta"
"227184_at"	3.99751129381324e-14	4.6209963372232e-17	-17.9067822614764	28.952208286466	-1.95041176470588	"PTAFR"	"platelet activating factor receptor"
"215946_x_at"	3.99751129381324e-14	4.67929991411152e-17	-17.8982438847154	28.9399945911035	-3.352	"IGLL3P"	"immunoglobulin lambda like polypeptide 3, pseudogene"
"226017_at"	4.14142501150915e-14	4.92350481477996e-17	-17.8636355956909	28.890433165122	-2.34105882352941	"CMTM7"	"CKLF like MARVEL transmembrane domain containing 7"
"210164_at"	4.18731404442094e-14	5.05464521137232e-17	-17.8457746243736	28.8648197714747	-3.88852941176471	"GZMB"	"granzyme B"
"227417_at"	4.25263398524717e-14	5.21127529970846e-17	17.8250584437186	28.8350817537774	3.21117647058824	"MARC2"	"mitochondrial amidoxime reducing component 2"
"239562_at"	4.34269451411158e-14	5.40106496496731e-17	17.8008009657611	28.8002190124328	3.04429411764706	"MTHFD2L"	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like"
"210942_s_at"	4.42941665014465e-14	5.58993596451726e-17	17.7775189112536	28.7667162692827	3.17670588235295	"ST3GAL6"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 6"
"213193_x_at"	4.67849046376401e-14	6.0367328622768e-17	-17.7255257241789	28.6917499044638	-3.01711764705882	"TRBC1"	"T cell receptor beta constant 1"
"229019_at"	4.67849046376401e-14	6.1049325616272e-17	17.7179403971111	28.6807958216506	2.40141176470589	"ZNF385B"	"zinc finger protein 385B"
"205773_at"	4.67849046376401e-14	6.20633553024371e-17	17.7068222893234	28.6647320777855	2.236	"CPEB3"	"cytoplasmic polyadenylation element binding protein 3"
"227677_at"	4.67849046376401e-14	6.24654419487468e-17	-17.7024655121934	28.6584347184786	-2.27976470588235	"JAK3"	"Janus kinase 3"
"211798_x_at"	6.19653584373614e-14	8.38671517945083e-17	-17.5046501307434	28.3709762382653	-3.66958823529412	"IGLJ3"	"immunoglobulin lambda joining 3"
"204140_at"	6.36564066422136e-14	8.73201737204576e-17	17.4777043739354	28.3315860658043	2.54464705882354	"TPST1"	"tyrosylprotein sulfotransferase 1"
"208837_at"	6.98032616134881e-14	9.70287678577978e-17	-17.4074598726382	28.2286350891796	-1.92764705882353	"TMED3"	"transmembrane p24 trafficking protein 3"
"207571_x_at"	7.15844074867274e-14	1.00813888915921e-16	-17.3820201204219	28.1912554547419	-2.87635294117647	"THEMIS2"	"thymocyte selection associated family member 2"
"1560396_at"	7.18278756690629e-14	1.02470494781653e-16	-17.3711946361451	28.1753337929596	-2.47664705882353	"KLHL6"	"kelch like family member 6"
"227030_at"	7.55278226394371e-14	1.09130278710846e-16	-17.3294249908506	28.1138147038391	-1.58182352941176	"IKZF3"	"IKAROS family zinc finger 3"
"217157_x_at"	7.81315102104894e-14	1.14863805141425e-16	-17.2955198734146	28.0637778784864	-3.55317647058823	"IGK///IGKC"	"immunoglobulin kappa locus///immunoglobulin kappa constant"
"228258_at"	7.81315102104894e-14	1.15750385497021e-16	-17.2904334530273	28.0562635864825	-1.80582352941176	"TBC1D10C"	"TBC1 domain family member 10C"
"212314_at"	8.06605015670151e-14	1.20972311449387e-16	-17.2612671534084	28.0131361195777	-2.92505882352941	"SEL1L3"	"SEL1L family member 3"
"209016_s_at"	8.27575359793939e-14	1.25631010265929e-16	-17.2363228371933	27.9761982950572	-4.59976470588235	"KRT7"	"keratin 7"
"201272_at"	8.50142070530882e-14	1.30611676130945e-16	-17.2106888940067	27.9381879591765	-2.655	"AKR1B1"	"aldo-keto reductase family 1 member B"
"213664_at"	9.52707561577906e-14	1.4811182941769e-16	17.128003505897	27.8152253484063	2.94394117647059	"SLC1A1"	"solute carrier family 1 member 1"
"207979_s_at"	9.71561739036509e-14	1.52819953465276e-16	-17.1074767384305	27.7846152807397	-2.178	"LOC100996919///CD8B"	"putative T-cell surface glycoprotein CD8 beta-2 chain-like///CD8b molecule"
"217148_x_at"	9.74349403011495e-14	1.55040508572474e-16	-17.0980207879354	27.7705029817879	-4.37764705882353	"IGLJ3///IGLV@///IGLC1"	"immunoglobulin lambda joining 3///immunoglobulin lambda variable cluster///immunoglobulin lambda constant 1"
"220346_at"	1.00116682300935e-13	1.63456819321548e-16	17.063407465413	27.7187841162903	2.03911764705883	"MTHFD2L"	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like"
"217235_x_at"	1.00116682300935e-13	1.64642941378624e-16	-17.058677724689	27.7117095273505	-3.66311764705882	"IGLL5"	"immunoglobulin lambda like polypeptide 5"
"241193_at"	1.00116682300935e-13	1.65466809314394e-16	17.0554131402885	27.70682542312	2.27376470588236	"ETS2"	"ETS proto-oncogene 2, transcription factor"
"223201_s_at"	1.00116682300935e-13	1.66632246719434e-16	-17.0508236116245	27.6999576390433	-1.42911764705882	"LOC101928589///TMEM164"	"uncharacterized LOC101928589///transmembrane protein 164"
"1554459_s_at"	1.03931960313389e-13	1.74883225401587e-16	17.0192486155465	27.6526628309262	6.16205882352942	"CFHR3"	"complement factor H related 3"
"216510_x_at"	1.04737912147873e-13	1.7815502203479e-16	-17.0071515494213	27.6345219042314	-4.29929411764705	"IGHV3-23///IGHV4-31///IGHM///IGHG1///IGHA1"	"immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant alpha 1"
"1553986_at"	1.11264160721706e-13	1.91290921039605e-16	-16.9607878935311	27.5648849947214	-2.74005882352941	"RASEF"	"RAS and EF-hand domain containing"
"219999_at"	1.13490714561168e-13	1.97194657216478e-16	16.9410103606036	27.5351268190041	1.2974705882353	"MAN2A2"	"mannosidase alpha class 2A member 2"
"227645_at"	1.13649428886852e-13	2.00064830560052e-16	-16.9316148708532	27.5209788358906	-2.36047058823529	"PIK3R5"	"phosphoinositide-3-kinase regulatory subunit 5"
"1558603_at"	1.13649428886852e-13	2.01627701911746e-16	16.9265571283714	27.5133597866291	2.79682352941177	"PLGLB2"	"plasminogen-like B2"
"203760_s_at"	1.18512779045125e-13	2.12423453981202e-16	-16.8926875256301	27.4622846551597	-2.39458823529411	"SLA"	"Src-like-adaptor"
"215554_at"	1.18779947166538e-13	2.15074801453815e-16	16.884641034679	27.4501368930227	4.01223529411765	"GPLD1"	"glycosylphosphatidylinositol specific phospholipase D1"
"215925_s_at"	1.28717165545032e-13	2.35422342103397e-16	-16.8260976899516	27.3615953171663	-2.58623529411764	"CD72"	"CD72 molecule"
"205685_at"	1.31512693569669e-13	2.42940686795364e-16	-16.8057776276617	27.3307975799957	-2.01935294117647	"CD86"	"CD86 molecule"
"205488_at"	1.31712242805948e-13	2.47908211809532e-16	-16.7927045846684	27.3109657813119	-3.61858823529411	"GZMA"	"granzyme A"
"43427_at"	1.31712242805948e-13	2.49760461042729e-16	16.7878990625707	27.3036722853395	2.32605882352942	"ACACB"	"acetyl-CoA carboxylase beta"
"1556051_a_at"	1.31712242805948e-13	2.50536319191927e-16	-16.785897072164	27.3006332409534	-1.5695294117647	"BICD1"	"BICD cargo adaptor 1"
"211423_s_at"	1.52777359000028e-13	2.9339959204395e-16	16.684215800613	27.1458462708107	2.67917647058824	"SC5D"	"sterol-C5-desaturase"
"217504_at"	1.53744362461579e-13	2.99147664022177e-16	16.6717592559584	27.1268253092596	2.40070588235294	"ABCA6"	"ATP binding cassette subfamily A member 6"
"203586_s_at"	1.53744362461579e-13	3.00880599604736e-16	16.6680522438972	27.1211622760284	1.50005882352941	"ARL4D"	"ADP ribosylation factor like GTPase 4D"
"206295_at"	1.55747692995231e-13	3.07649763941196e-16	-16.6537800533072	27.0993486720876	-3.05041176470588	"IL18"	"interleukin 18"
"240690_at"	1.60086244657947e-13	3.19147703113237e-16	-16.6302643845399	27.0633704937472	-1.89723529411764	""	""
"213832_at"	1.64036531154609e-13	3.30023199396561e-16	16.6088125055342	27.0305097772004	2.76294117647059	"KCND3"	"potassium voltage-gated channel subfamily D member 3"
"219478_at"	1.75585625462428e-13	3.56470131254311e-16	-16.5595483570322	26.9549002159699	-2.28588235294118	"WFDC1"	"WAP four-disulfide core domain 1"
"210321_at"	1.83356325032435e-13	3.75599605004715e-16	-16.5262102825874	26.9036186622897	-2.85	"GZMH"	"granzyme H"
"206380_s_at"	1.92553379263218e-13	3.979612593826e-16	-16.4893916281151	26.8468749762185	-3.25005882352941	"CFP"	"complement factor properdin"
"201888_s_at"	2.00923929341913e-13	4.18936039231424e-16	16.4567466929053	26.7964684319174	1.5169411764706	"IL13RA1"	"interleukin 13 receptor subunit alpha 1"
"235945_at"	2.13577847645038e-13	4.49783245604052e-16	16.4116782655555	26.7267313860796	2.91535294117647	""	""
"227669_at"	2.13577847645038e-13	4.53132699164598e-16	16.4069777490022	26.7194481194325	2.36617647058824	"MPC2"	"mitochondrial pyruvate carrier 2"
"203028_s_at"	2.28216125534369e-13	4.88363725423341e-16	-16.3596011108697	26.6459354088155	-3.01558823529412	"CYBA"	"cytochrome b-245 alpha chain"
"219452_at"	2.29727808387273e-13	4.98836959380406e-16	-16.3461953956158	26.6250996581805	-3.06641176470588	"DPEP2"	"dipeptidase 2"
"216984_x_at"	2.29727808387273e-13	5.00317551362799e-16	-16.344323695524	26.6221893649404	-3.89476470588235	"IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1"	"immunoglobulin lambda joining 3///immunoglobulin lambda variable 1-44///cytoskeleton associated protein 2///immunoglobulin lambda variable cluster///immunoglobulin lambda constant 1"
"242366_at"	2.29727808387273e-13	5.07232608363104e-16	16.3356569676819	26.608709648233	1.29352941176471	""	""
"204462_s_at"	2.29727808387273e-13	5.08405392132785e-16	16.3341991978312	26.606441691432	1.92105882352941	"SLC16A2"	"solute carrier family 16 member 2"
"223723_at"	2.32523711573083e-13	5.18845776166734e-16	-16.3213726429012	26.586478706236	-1.90388235294118	"MELTF"	"melanotransferrin"
"223565_at"	2.47245634071221e-13	5.56217887348151e-16	-16.2775467883762	26.5181632343065	-4.12835294117647	"MZB1"	"marginal zone B and B1 cell specific protein"
"231156_at"	2.64901775742738e-13	6.0112035016395e-16	16.2287416186668	26.4418928127383	4.95505882352941	"HAO2"	"hydroxyacid oxidase 2"
"214777_at"	2.64901775742738e-13	6.0562820242967e-16	-16.2240511910169	26.4345520808335	-2.72411764705882	"IGKC"	"immunoglobulin kappa constant"
"213915_at"	2.70543051621751e-13	6.2347369921062e-16	-16.2058298657799	26.4060169561714	-2.85470588235294	"NKG7"	"natural killer cell granule protein 7"
"1561615_s_at"	2.87667990734477e-13	6.68199996767784e-16	-16.1624265792013	26.3379311045653	-3.67329411764706	"SLC8A1"	"solute carrier family 8 member A1"
"209619_at"	2.91538288807748e-13	6.86204110284484e-16	-16.1457949487955	26.3117983679052	-3.07188235294117	"CD74"	"CD74 molecule"
"201666_at"	2.91538288807748e-13	6.87854398833096e-16	-16.144293041174	26.3094372937691	-2.95658823529411	"TIMP1"	"TIMP metallopeptidase inhibitor 1"
"214617_at"	3.02470275424526e-13	7.19179438595124e-16	-16.1164685188371	26.265660475473	-2.55	"PRF1"	"perforin 1"
"202804_at"	3.11293830816722e-13	7.45852617046011e-16	-16.0937440610055	26.2298579551708	-2.05605882352941	"ABCC1"	"ATP binding cassette subfamily C member 1"
"223038_s_at"	3.1645724057792e-13	7.64011993713497e-16	-16.0787475474377	26.2062063272168	-1.77011764705882	"FAM60A"	"family with sequence similarity 60 member A"
"223631_s_at"	3.33039991305954e-13	8.10138433355133e-16	-16.0422492834935	26.1485617257759	-2.22717647058823	"C19orf33"	"chromosome 19 open reading frame 33"
"227811_at"	3.33263077368077e-13	8.16776449333742e-16	-16.037173934834	26.14053664316	-2.27311764705882	"FGD3"	"FYVE, RhoGEF and PH domain containing 3"
"208747_s_at"	3.49291603485586e-13	8.62448403668113e-16	16.0033664677129	26.0870233461557	1.7449411764706	"C1S"	"complement component 1, s subcomponent"
"216438_s_at"	3.52523494351333e-13	8.76875998752287e-16	-15.993069589853	26.0707047543032	-1.80229411764706	"TMSB4X"	"thymosin beta 4, X-linked"
"236205_at"	3.58737612845862e-13	8.98894429993289e-16	15.9776872330341	26.0463093710796	2.90429411764706	"ABCC6P1"	"ATP binding cassette subfamily C member 6 pseudogene 1"
"235291_s_at"	3.72561383773443e-13	9.40346976876727e-16	-15.9497545594359	26.001957039888	-2.21841176470588	"FLJ32255"	"uncharacterized LOC643977"
"212622_at"	3.84271293283961e-13	9.82404231441677e-16	15.9226831769191	25.9589069537961	1.50958823529412	"TMEM41B"	"transmembrane protein 41B"
"212651_at"	3.84271293283961e-13	9.8395941581627e-16	-15.9217051884669	25.9573505086369	-2.38923529411764	"RHOBTB1"	"Rho related BTB domain containing 1"
"228242_at"	3.8552044896013e-13	9.94209113916386e-16	15.9152991992478	25.9471534498288	2.16688235294118	"N4BP2"	"NEDD4 binding protein 2"
"206974_at"	3.88467898846851e-13	1.00891525626434e-15	-15.9062259418408	25.9327044508071	-2.41047058823529	"CXCR6"	"C-X-C motif chemokine receptor 6"
"1553977_a_at"	3.88725612364301e-13	1.01669433137805e-15	15.9014814774467	25.9251460901788	2.70205882352941	"CYP39A1"	"cytochrome P450 family 39 subfamily A member 1"
"214971_s_at"	3.89685569529708e-13	1.02633236419347e-15	15.8956548896037	25.9158610956843	2.36623529411765	"ST6GAL1"	"ST6 beta-galactoside alpha-2,6-sialyltransferase 1"
"201141_at"	4.30528681690738e-13	1.14177702506003e-15	-15.8299475851195	25.8109453297432	-3.55070588235294	"GPNMB"	"glycoprotein nmb"
"230951_at"	4.3493140745815e-13	1.16140805649547e-15	15.8194594927882	25.7941634913039	3.84841176470589	"EPB41L5"	"erythrocyte membrane protein band 4.1 like 5"
"219505_at"	4.42948743051566e-13	1.19091843124975e-15	-15.8040323285934	25.7694609868313	-3.28017647058823	"CECR1"	"cat eye syndrome chromosome region, candidate 1"
"218376_s_at"	4.49808369372992e-13	1.21758827009059e-15	-15.7904255141802	25.7476557487754	-2.76964705882353	"MICAL1"	"microtubule associated monooxygenase, calponin and LIM domain containing 1"
"215578_at"	4.62813825540506e-13	1.26125761326997e-15	15.768795857826	25.7129598343091	2.52135294117648	""	""
"221515_s_at"	4.63042371006417e-13	1.27034944034682e-15	-15.7643898320237	25.7058870670391	-1.24729411764705	"LCMT1"	"leucine carboxyl methyltransferase 1"
"217227_x_at"	4.96724036216908e-13	1.37183958790586e-15	-15.7173034551823	25.6301935973671	-3.23541176470588	"IGLV1-44"	"immunoglobulin lambda variable 1-44"
"241891_at"	4.98436250834454e-13	1.38568468453291e-15	-15.7111599856178	25.6203030877684	-2.23194117647058	""	""
"202286_s_at"	5.09074786824261e-13	1.42457141991974e-15	-15.6942375994484	25.5930418916617	-4.19647058823529	"TACSTD2"	"tumor-associated calcium signal transducer 2"
"210233_at"	5.15506343772644e-13	1.4519977492636e-15	15.6825864659798	25.5742575330914	4.44758823529412	"IL1RAP"	"interleukin 1 receptor accessory protein"
"204670_x_at"	5.42839968393489e-13	1.54487484656873e-15	-15.6447514798947	25.5131746541473	-3.01911764705882	"LOC100996809///HLA-DRB4///HLA-DRB1"	"HLA class II histocompatibility antigen, DRB1-10 beta chain-like///major histocompatibility complex, class II, DR beta 4///major histocompatibility complex, class II, DR beta 1"
"210785_s_at"	5.42839968393489e-13	1.54884380556716e-15	-15.6431873468305	25.510646662865	-2.78523529411765	"THEMIS2"	"thymocyte selection associated family member 2"
"223344_s_at"	5.56162889425145e-13	1.59702923895286e-15	-15.6245208901158	25.4804604704709	-3.18523529411764	"MS4A7"	"membrane spanning 4-domains A7"
"222245_s_at"	5.8073152140544e-13	1.67819991553835e-15	-15.5943520952811	25.4316070443402	-2.53047058823529	"FER1L4"	"fer-1 like family member 4, pseudogene"
"229103_at"	5.85328674646372e-13	1.70219038443115e-15	15.5857231033466	25.4176186938506	2.62741176470589	"LOC101929777///WNT3"	"uncharacterized LOC101929777///Wnt family member 3"
"214420_s_at"	5.98840829642322e-13	1.75243772734836e-15	15.5680492555815	25.3889468276708	2.48888235294118	"CYP2C9"	"cytochrome P450 family 2 subfamily C member 9"
"207584_at"	6.15661337567452e-13	1.81292135982368e-15	15.5474553082251	25.3555020842344	5.5544705882353	"LPA"	"lipoprotein(a)"
"210168_at"	6.2055961297221e-13	1.83869514954729e-15	15.5388940132334	25.3415871578516	3.61805882352942	"C6"	"complement component 6"
"227759_at"	6.43515635013711e-13	1.91848282592108e-15	15.513154711802	25.2997122402531	2.41252941176471	"PCSK9"	"proprotein convertase subtilisin/kexin type 9"
"200986_at"	6.97355459959638e-13	2.09174751592831e-15	15.4608670332939	25.2144605376464	1.84400000000001	"SERPING1"	"serpin family G member 1"
"238647_at"	7.63023025735572e-13	2.32061131795747e-15	15.3982629845009	25.1120602155139	2.01811764705882	"C14orf28"	"chromosome 14 open reading frame 28"
"215363_x_at"	7.63023025735572e-13	2.32589734020103e-15	15.3968933834538	25.1098159701158	3.21235294117647	"FOLH1B///FOLH1"	"folate hydrolase 1B///folate hydrolase (prostate-specific membrane antigen) 1"
